LLVM.Base         7.63 7.65 7.66 7.65 7.61 7.57 7.64 7.66 7.64 7.64 7.72 7.67 7.72 7.72 7.74 7.67 7.62 7.64 7.67 7.61 7.63 7.61 7.66 7.59 7.63 7.73 7.65 7.65 7.62 7.75 7.75 7.64 7.64 7.70 7.78 7.66 7.81 7.66 7.69 7.63 7.65 7.63 7.63 7.64 7.61 7.72 7.67 7.57 7.65 7.63 7.62 7.67 7.58 7.61 7.64 7.59 7.73 7.65 7.58 7.64 7.60 7.63 7.69 7.59 7.67 7.62 7.68 7.66 7.72 7.62 7.66 7.60 7.66 7.67 7.68 7.60 7.63 7.65 7.69 7.55 7.54 7.52 7.58 7.52 7.54 7.57 7.56 7.51 7.54 7.50 7.55 7.56 7.54 7.53 7.55 7.55 7.53 7.50 7.59 7.57
LLVM.Combined     7.46 7.47 7.46 7.43 7.48 7.42 7.48 7.39 7.46 7.44 7.43 7.44 7.44 7.41 7.42 7.40 7.43 7.45 7.42 7.45 7.50 7.37 7.44 7.42 7.41 7.43 7.45 7.43 7.42 7.45 7.47 7.42 7.38 7.42 7.44 7.38 7.47 7.46 7.43 7.39 7.43 7.43 7.42 7.40 7.46 7.42 7.48 7.45 7.48 7.43 7.45 7.40 7.51 7.41 7.45 7.42 7.40 7.43 7.42 7.42 7.44 7.40 7.43 7.41 7.44 7.44 7.44 7.40 7.42 7.50 7.41 7.45 7.42 7.41 7.39 7.44 7.46 7.44 7.43 7.47 7.43 7.42 7.42 7.45 7.43 7.47 7.51 7.53 1171.42 7.75 7.71 7.61 7.69 7.68 7.69 7.62 7.70 7.63 7.61 7.64
LLVM.Trace.Inline 5.28 5.25 5.18 5.24 5.17 5.23 5.21 5.25 5.24 5.25 5.26 5.31 5.21 5.27 5.22 5.25 5.13 5.17 5.11 5.16 5.10 5.15 5.08 5.18 5.08 5.10 5.12 5.09 5.16 5.09 5.19 5.16 5.16 5.07 5.17 5.12 5.18 5.16 5.12 5.15 5.11 5.19 5.10 5.23 5.11 5.16 5.13 5.16 5.12 5.18 5.08 5.14 5.09 5.13 5.11 5.11 5.12 5.09 5.17 5.08 5.17 5.06 5.19 5.09 5.17 5.15 5.11 5.16 5.11 5.17 5.09 5.27 5.11 5.15 5.10 5.12 5.11 5.16 5.14 5.13 5.11 5.14 5.10 5.14 5.11 5.11 5.14 5.11 5.16 5.13 5.15 5.06 5.13 5.11 5.12 5.10 5.11 5.16 5.07 5.16
LLVM.Trace.O2     4.81 4.79 4.65 4.76 4.71 4.68 4.70 4.72 4.69 4.73 4.67 4.70 4.73 4.72 4.72 4.72 4.68 4.69 4.72 4.71 4.67 4.73 4.67 4.69 4.74 4.70 4.73 4.69 4.69 4.67 4.75 4.70 4.73 4.74 4.72 4.70 4.69 4.72 4.74 4.75 4.67 4.73 4.71 4.70 4.76 4.76 4.68 4.72 4.67 4.66 4.75 4.71 4.70 4.75 4.70 4.70 4.78 4.64 4.74 4.75 4.69 4.69 4.76 4.67 4.70 4.81 4.67 4.71 4.70 4.66 4.76 4.71 4.68 4.78 4.66 4.67 4.75 4.73 4.68 4.76 4.66 4.68 4.76 4.64 4.74 4.74 4.66 4.72 4.70 4.67 4.77 4.72 4.66 4.74 4.72 4.65 4.71 4.77 2333.75 5.00
ASM.Trace         5.29 5.63 5.71 6.54 6.49 5.93 5.34 5.18 5.10 5.37 5.17 5.12 5.15 5.13 5.20 5.19 5.13 5.18 5.12 5.14 5.14 5.19 5.21 5.14 5.19 5.16 5.21 5.24 5.16 5.20 5.15 5.18 5.21 5.16 5.20 5.18 5.21 5.21 5.18 5.20 5.14 5.20 5.13 5.18 5.27 5.16 5.20 5.13 5.21 5.17 5.18 5.16 5.15 5.17 5.16 5.15 5.22 5.13 5.27 5.18 5.18 5.18 5.15 5.20 5.17 5.16 5.18 5.20 5.20 5.15 5.16 5.16 5.21 5.18 5.14 5.19 5.18 5.13 5.19 5.17 5.20 5.13 5.17 5.18 5.14 5.19 5.13 5.20 5.19 5.14 5.20 5.18 5.18 5.16 5.16 5.17 5.13 5.20 5.15 5.17
ASM.Base          6.39 6.40 6.51 6.37 6.39 6.40 6.36 6.44 6.42 6.37 6.41 6.38 6.38 6.41 6.37 6.32 6.35 6.37 6.39 6.32 6.31 6.35 6.30 6.33 6.40 6.31 6.34 6.35 6.30 6.33 6.43 6.38 6.31 6.36 6.30 6.35 6.34 6.30 6.29 6.31 6.37 6.29 6.35 6.34 6.30 6.36 6.33 6.34 6.35 6.34 6.31 6.31 6.35 6.31 6.31 6.32 6.33 6.29 6.34 6.35 6.47 6.33 6.36 6.29 6.35 6.41 6.30 6.36 6.37 6.33 6.33 6.37 6.32 6.30 6.34 6.33 6.31 6.37 6.35 6.37 6.40 6.40 6.32 6.36 6.35 6.32 6.33 6.32 6.31 6.32 6.34 6.26 6.31 6.36 6.31 6.32 6.33 6.32 6.32 6.52
